facet_id,facet_name,raw_name,category,description,positive_indicators,negative_indicators,score_1_anchor,score_2_anchor,score_3_anchor,score_4_anchor,score_5_anchor,synonyms,related_facets,examples,keywords,retrieval_text
impulsivity,Impulsivity,Impulsivity,personality,"Impulsivity (also: impulsivityness, impulsivityity, impulsivitying, trait) is a personality facet that captures the degree to which a conversational turn exhibits 'impulsivity'. Context: Stable traits and dispositions: HEXACO/Big-Five facets, character strengths, virtues, risk-taking, integrity, authenticity. A high score on Impulsivity indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates impulsivity in their response"", ""The turn contains strong evidence of impulsivity"", ""The speaker's language consistently reflects impulsivity""]","[""Absence of any signal related to impulsivity"", ""The turn contradicts or undermines impulsivity"", ""No personality indicator for impulsivity is present""]",Strong opposite tendency — behaviour is antithetical to impulsivity.,Weak or incidental signal; impulsivity is mostly absent.,Mixed — some evidence of impulsivity but also contradictory signals.,Clearly present — turn shows consistent evidence of impulsivity.,"Strongly exemplifies impulsivity; central, pronounced, unmistakable.","[""impulsivityness"", ""impulsivityity"", ""impulsivitying"", ""trait"", ""disposition"", ""character quality""]","[""Integrity"", ""Courage"", ""Honesty"", ""Assertiveness""]","[""A speaker says something that clearly reflects impulsivity."", ""The conversation turn is dominated by impulsivity.""]","[""impulsivity"", ""impulsivityness"", ""impulsivityity"", ""impulsivitying"", ""trait"", ""disposition"", ""character"", ""quality"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language"", ""integrity"", ""courage"", ""honesty"", ""assertiveness""]",
museum_visits_year,Museum Visits/Year,Museum visits/year,other,"Museum Visits/Year (also: museumness, museumity, museuming, general attribute) is a other facet that captures the degree to which a conversational turn exhibits 'museum visits/year'. Context: Catch-all for facets that do not fit any profile. A high score on Museum Visits/Year indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates museum visits/year in their response"", ""The turn contains strong evidence of museum visits/year"", ""The speaker's language consistently reflects museum visits/year""]","[""Absence of any signal related to museum visits/year"", ""The turn contradicts or undermines museum visits/year"", ""No other indicator for museum visits/year is present""]",Strongly absent — turn actively contradicts or shows the opposite of museum visits/year.,Mostly absent — only weak or indirect signals of museum visits/year.,Neutral / mixed — evidence is ambiguous or museum visits/year is not clearly applicable.,"Mostly present — turn clearly displays museum visits/year, though not in extreme form.","Strongly present — museum visits/year is pronounced, unambiguous, and central to the message.","[""museumness"", ""museumity"", ""museuming"", ""general attribute"", ""miscellaneous quality""]",[],"[""A speaker says something that clearly reflects museum visits/year."", ""The conversation turn is dominated by museum visits/year.""]","[""museum"", ""visits"", ""year"", ""museumness"", ""museumity"", ""museuming"", ""general"", ""attribute"", ""miscellaneous"", ""quality"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language""]",
choir_participation_years,Choir Participation Years,Choir participation years,behavioral_lifestyle,"Choir Participation Years (also: choirness, choirity, choiring, lifestyle habit) is a behavioral lifestyle facet that captures the degree to which a conversational turn exhibits 'choir participation years'. Context: Habitual behaviour patterns: diet, activities, hobbies, lifestyle frequencies and counts. A high score on Choir Participation Years indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates choir participation years in their response"", ""The turn contains strong evidence of choir participation years"", ""The speaker's language consistently reflects choir participation years""]","[""Absence of any signal related to choir participation years"", ""The turn contradicts or undermines choir participation years"", ""No behavioral lifestyle indicator for choir participation years is present""]",None / never — no mention or explicit denial of choir participation years.,Rare — mentioned as occasional or infrequent.,Moderate — average / typical frequency of choir participation years.,Frequent — clear pattern; choir participation years is a regular part of life.,Central — choir participation years is described as a defining lifestyle feature.,"[""choirness"", ""choirity"", ""choiring"", ""lifestyle habit"", ""routine behaviour"", ""daily pattern""]","[""Adventure Seeking"", ""Risk Taking""]","[""A speaker says something that clearly reflects choir participation years."", ""The conversation turn is dominated by choir participation years.""]","[""choir"", ""participation"", ""years"", ""choirness"", ""choirity"", ""choiring"", ""lifestyle"", ""habit"", ""routine"", ""behaviour"", ""daily"", ""pattern"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language"", ""adventure"", ""seeking""]",
delegation_ability,Delegation Ability,Delegation Ability,other,"Delegation Ability (also: delegationness, delegationity, delegationing, general attribute) is a other facet that captures the degree to which a conversational turn exhibits 'delegation ability'. Context: Catch-all for facets that do not fit any profile. A high score on Delegation Ability indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates delegation ability in their response"", ""The turn contains strong evidence of delegation ability"", ""The speaker's language consistently reflects delegation ability""]","[""Absence of any signal related to delegation ability"", ""The turn contradicts or undermines delegation ability"", ""No other indicator for delegation ability is present""]",Strongly absent — turn actively contradicts or shows the opposite of delegation ability.,Mostly absent — only weak or indirect signals of delegation ability.,Neutral / mixed — evidence is ambiguous or delegation ability is not clearly applicable.,"Mostly present — turn clearly displays delegation ability, though not in extreme form.","Strongly present — delegation ability is pronounced, unambiguous, and central to the message.","[""delegationness"", ""delegationity"", ""delegationing"", ""general attribute"", ""miscellaneous quality""]",[],"[""A speaker says something that clearly reflects delegation ability."", ""The conversation turn is dominated by delegation ability.""]","[""delegation"", ""ability"", ""delegationness"", ""delegationity"", ""delegationing"", ""general"", ""attribute"", ""miscellaneous"", ""quality"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language""]",
kabbalah_sephira_balance_tiferet,Kabbalah Sephira Balance: Tiferet,788. Kabbalah sephira balance: Tiferet,other,"Kabbalah Sephira Balance: Tiferet (also: kabbalahness, kabbalahity, kabbalahing, general attribute) is a other facet that captures the degree to which a conversational turn exhibits 'kabbalah sephira balance: tiferet'. Context: Catch-all for facets that do not fit any profile. A high score on Kabbalah Sephira Balance: Tiferet indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates kabbalah sephira balance: tiferet in their response"", ""The turn contains strong evidence of kabbalah sephira balance: tiferet"", ""The speaker's language consistently reflects kabbalah sephira balance: tiferet""]","[""Absence of any signal related to kabbalah sephira balance: tiferet"", ""The turn contradicts or undermines kabbalah sephira balance: tiferet"", ""No other indicator for kabbalah sephira balance: tiferet is present""]",Strongly absent — turn actively contradicts or shows the opposite of kabbalah sephira balance: tiferet.,Mostly absent — only weak or indirect signals of kabbalah sephira balance: tiferet.,Neutral / mixed — evidence is ambiguous or kabbalah sephira balance: tiferet is not clearly applicable.,"Mostly present — turn clearly displays kabbalah sephira balance: tiferet, though not in extreme form.","Strongly present — kabbalah sephira balance: tiferet is pronounced, unambiguous, and central to the message.","[""kabbalahness"", ""kabbalahity"", ""kabbalahing"", ""general attribute"", ""miscellaneous quality""]",[],"[""A speaker says something that clearly reflects kabbalah sephira balance: tiferet."", ""The conversation turn is dominated by kabbalah sephira balance: tiferet.""]","[""kabbalah"", ""sephira"", ""balance"", ""tiferet"", ""kabbalahness"", ""kabbalahity"", ""kabbalahing"", ""general"", ""attribute"", ""miscellaneous"", ""quality"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language""]",
desire_to_influence_others,Desire To Influence Others,Desire to influence others,social,"Desire To Influence Others (also: desireness, desireity, desireing, interpersonal behaviour) is a social facet that captures the degree to which a conversational turn exhibits 'desire to influence others'. Context: Interpersonal style: leadership, collaboration, cooperation, conflict, assertiveness, communication, influence. A high score on Desire To Influence Others indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates desire to influence others in their response"", ""The turn contains strong evidence of desire to influence others"", ""The speaker's language consistently reflects desire to influence others""]","[""Absence of any signal related to desire to influence others"", ""The turn contradicts or undermines desire to influence others"", ""No social indicator for desire to influence others is present""]",Absent — no interpersonal signal related to desire to influence others.,Weak or indirect signal of desire to influence others in the interaction.,Neutral — some social signal but desire to influence others is not the dominant pattern.,Present — desire to influence others is clearly demonstrated in this turn.,Strongly and consistently demonstrated; desire to influence others is the defining feature.,"[""desireness"", ""desireity"", ""desireing"", ""interpersonal behaviour"", ""social skill"", ""relational dynamic""]","[""Assertiveness"", ""Democratic Leadership"", ""Empathy""]","[""A speaker says something that clearly reflects desire to influence others."", ""The conversation turn is dominated by desire to influence others.""]","[""desire"", ""influence"", ""others"", ""desireness"", ""desireity"", ""desireing"", ""interpersonal"", ""behaviour"", ""social"", ""skill"", ""relational"", ""dynamic"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language"", ""assertiveness"", ""democratic""]",
vivacity,Vivacity,Vivacity,safety,"Vivacity (also: vivacityness, vivacityity, vivacitying, risk signal) is a safety facet that captures the degree to which a conversational turn exhibits 'vivacity'. Context: Risk, harm, toxicity, manipulation, deception, privacy violations, bias and fairness concerns present in a conversational turn. A high score on Vivacity indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates vivacity in their response"", ""The turn contains strong evidence of vivacity"", ""The speaker's language consistently reflects vivacity""]","[""Absence of any signal related to vivacity"", ""The turn contradicts or undermines vivacity"", ""No safety indicator for vivacity is present""]",Safe — no safety concern related to vivacity.,Minor / borderline indication of vivacity; not actionable alone.,Ambiguous — could be read as vivacity depending on context.,Notable concern — clear instance of vivacity; warrants review.,Severe — egregious instance of vivacity; immediate action warranted.,"[""vivacityness"", ""vivacityity"", ""vivacitying"", ""risk signal"", ""harm indicator"", ""safety concern""]","[""Manipulation"", ""Deception"", ""Hostility""]","[""A speaker says something that clearly reflects vivacity."", ""The conversation turn is dominated by vivacity.""]","[""vivacity"", ""vivacityness"", ""vivacityity"", ""vivacitying"", ""risk"", ""signal"", ""harm"", ""indicator"", ""safety"", ""concern"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language"", ""manipulation"", ""deception"", ""hostility""]",
genialness,Genialness,Genialness,other,"Genialness (also: genialnessness, genialnessity, genialnessing, general attribute) is a other facet that captures the degree to which a conversational turn exhibits 'genialness'. Context: Catch-all for facets that do not fit any profile. A high score on Genialness indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates genialness in their response"", ""The turn contains strong evidence of genialness"", ""The speaker's language consistently reflects genialness""]","[""Absence of any signal related to genialness"", ""The turn contradicts or undermines genialness"", ""No other indicator for genialness is present""]",Strongly absent — turn actively contradicts or shows the opposite of genialness.,Mostly absent — only weak or indirect signals of genialness.,Neutral / mixed — evidence is ambiguous or genialness is not clearly applicable.,"Mostly present — turn clearly displays genialness, though not in extreme form.","Strongly present — genialness is pronounced, unambiguous, and central to the message.","[""genialnessness"", ""genialnessity"", ""genialnessing"", ""general attribute"", ""miscellaneous quality""]",[],"[""A speaker says something that clearly reflects genialness."", ""The conversation turn is dominated by genialness.""]","[""genialness"", ""genialnessness"", ""genialnessity"", ""genialnessing"", ""general"", ""attribute"", ""miscellaneous"", ""quality"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language""]",
cognitive_measure_working_memory_index,Cognitive Measure: Working Memory Index,Cognitive measure: Working Memory Index,cognitive,"Cognitive Measure: Working Memory Index (also: cognitiveness, cognitiveity, cognitiveing, thinking style) is a cognitive facet that captures the degree to which a conversational turn exhibits 'cognitive measure: working memory index'. Context: Thinking processes: reasoning, problem-solving, learning, memory, creativity, common sense, statistical and numerical reasoning. A high score on Cognitive Measure: Working Memory Index indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates cognitive measure: working memory index in their response"", ""The turn contains strong evidence of cognitive measure: working memory index"", ""The speaker's language consistently reflects cognitive measure: working memory index""]","[""Absence of any signal related to cognitive measure: working memory index"", ""The turn contradicts or undermines cognitive measure: working memory index"", ""No cognitive indicator for cognitive measure: working memory index is present""]",No application of cognitive measure: working memory index; reasoning absent or clearly wrong.,Superficial or partial application of cognitive measure: working memory index.,Adequate — basic application sufficient for the turn.,"Strong — correct, deliberate application of cognitive measure: working memory index with depth.","Expert — sophisticated, fully-correct demonstration of cognitive measure: working memory index.","[""cognitiveness"", ""cognitiveity"", ""cognitiveing"", ""thinking style"", ""mental process"", ""reasoning pattern""]","[""Curiosity"", ""Common Sense"", ""Statistical Reasoning""]","[""A speaker says something that clearly reflects cognitive measure: working memory index."", ""The conversation turn is dominated by cognitive measure: working memory index.""]","[""cognitive"", ""measure"", ""working"", ""memory"", ""index"", ""cognitiveness"", ""cognitiveity"", ""cognitiveing"", ""thinking"", ""style"", ""mental"", ""process"", ""reasoning"", ""pattern"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language""]",
ethical_practices,Ethical Practices,Ethical practices,spirituality_culture,"Ethical Practices (also: ethicalness, ethicality, ethicaling, spiritual practice) is a spirituality culture facet that captures the degree to which a conversational turn exhibits 'ethical practices'. Context: Spirituality, religion, culture, mindfulness practices, pilgrimage, sufi practice. A high score on Ethical Practices indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates ethical practices in their response"", ""The turn contains strong evidence of ethical practices"", ""The speaker's language consistently reflects ethical practices""]","[""Absence of any signal related to ethical practices"", ""The turn contradicts or undermines ethical practices"", ""No spirituality culture indicator for ethical practices is present""]",Absent — no reference to ethical practices.,Tangential — brief or implicit reference to ethical practices.,Present — ethical practices mentioned as part of life.,Strong — ethical practices clearly emphasised.,Central — ethical practices is the dominant frame of the entire turn.,"[""ethicalness"", ""ethicality"", ""ethicaling"", ""spiritual practice"", ""cultural expression"", ""religious behaviour""]","[""Mindfulness"", ""Pilgrimage Participation""]","[""A speaker says something that clearly reflects ethical practices."", ""The conversation turn is dominated by ethical practices.""]","[""ethical"", ""practices"", ""ethicalness"", ""ethicality"", ""ethicaling"", ""spiritual"", ""practice"", ""cultural"", ""expression"", ""religious"", ""behaviour"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language"", ""mindfulness"", ""pilgrimage"", ""participation""]",
new_age_spiritual_metric_channeling_sessions_year,New-Age Spiritual Metric: Channeling Sessions / Year,945. New-Age spiritual metric: Channeling sessions / year,spirituality_culture,"New-Age Spiritual Metric: Channeling Sessions / Year (also: newageness, newageity, newageing, spiritual practice) is a spirituality culture facet that captures the degree to which a conversational turn exhibits 'new-age spiritual metric: channeling sessions / year'. Context: Spirituality, religion, culture, mindfulness practices, pilgrimage, sufi practice. A high score on New-Age Spiritual Metric: Channeling Sessions / Year indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates new-age spiritual metric: channeling sessions / year in their response"", ""The turn contains strong evidence of new-age spiritual metric: channeling sessions / year"", ""The speaker's language consistently reflects new-age spiritual metric: channeling sessions / year""]","[""Absence of any signal related to new-age spiritual metric: channeling sessions / year"", ""The turn contradicts or undermines new-age spiritual metric: channeling sessions / year"", ""No spirituality culture indicator for new-age spiritual metric: channeling sessions / year is present""]",Absent — no reference to new-age spiritual metric: channeling sessions / year.,Tangential — brief or implicit reference to new-age spiritual metric: channeling sessions / year.,Present — new-age spiritual metric: channeling sessions / year mentioned as part of life.,Strong — new-age spiritual metric: channeling sessions / year clearly emphasised.,Central — new-age spiritual metric: channeling sessions / year is the dominant frame of the entire turn.,"[""newageness"", ""newageity"", ""newageing"", ""spiritual practice"", ""cultural expression"", ""religious behaviour""]","[""Mindfulness"", ""Pilgrimage Participation""]","[""A speaker says something that clearly reflects new-age spiritual metric: channeling sessions / year."", ""The conversation turn is dominated by new-age spiritual metric: channeling sessions / year.""]","[""new"", ""age"", ""spiritual"", ""metric"", ""channeling"", ""sessions"", ""year"", ""newageness"", ""newageity"", ""newageing"", ""practice"", ""cultural"", ""expression"", ""religious"", ""behaviour"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's""]",
civility,Civility,Civility,other,"Civility (also: civilityness, civilityity, civilitying, general attribute) is a other facet that captures the degree to which a conversational turn exhibits 'civility'. Context: Catch-all for facets that do not fit any profile. A high score on Civility indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates civility in their response"", ""The turn contains strong evidence of civility"", ""The speaker's language consistently reflects civility""]","[""Absence of any signal related to civility"", ""The turn contradicts or undermines civility"", ""No other indicator for civility is present""]",Strongly absent — turn actively contradicts or shows the opposite of civility.,Mostly absent — only weak or indirect signals of civility.,Neutral / mixed — evidence is ambiguous or civility is not clearly applicable.,"Mostly present — turn clearly displays civility, though not in extreme form.","Strongly present — civility is pronounced, unambiguous, and central to the message.","[""civilityness"", ""civilityity"", ""civilitying"", ""general attribute"", ""miscellaneous quality""]",[],"[""A speaker says something that clearly reflects civility."", ""The conversation turn is dominated by civility.""]","[""civility"", ""civilityness"", ""civilityity"", ""civilitying"", ""general"", ""attribute"", ""miscellaneous"", ""quality"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language""]",
sleep_apnea,Sleep Apnea,Sleep Apnea,other,"Sleep Apnea (also: sleepness, sleepity, sleeping, general attribute) is a other facet that captures the degree to which a conversational turn exhibits 'sleep apnea'. Context: Catch-all for facets that do not fit any profile. A high score on Sleep Apnea indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates sleep apnea in their response"", ""The turn contains strong evidence of sleep apnea"", ""The speaker's language consistently reflects sleep apnea""]","[""Absence of any signal related to sleep apnea"", ""The turn contradicts or undermines sleep apnea"", ""No other indicator for sleep apnea is present""]",Strongly absent — turn actively contradicts or shows the opposite of sleep apnea.,Mostly absent — only weak or indirect signals of sleep apnea.,Neutral / mixed — evidence is ambiguous or sleep apnea is not clearly applicable.,"Mostly present — turn clearly displays sleep apnea, though not in extreme form.","Strongly present — sleep apnea is pronounced, unambiguous, and central to the message.","[""sleepness"", ""sleepity"", ""sleeping"", ""general attribute"", ""miscellaneous quality""]",[],"[""A speaker says something that clearly reflects sleep apnea."", ""The conversation turn is dominated by sleep apnea.""]","[""sleep"", ""apnea"", ""sleepness"", ""sleepity"", ""sleeping"", ""general"", ""attribute"", ""miscellaneous"", ""quality"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language""]",
classiness,Classiness,Classiness,emotion,"Classiness (also: classinessness, classinessity, classinessing, emotional expression) is a emotion facet that captures the degree to which a conversational turn exhibits 'classiness'. Context: Affect and emotional content: valence, arousal, specific emotions, emotional regulation, empathy, compassion, warmth. A high score on Classiness indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates classiness in their response"", ""The turn contains strong evidence of classiness"", ""The speaker's language consistently reflects classiness""]","[""Absence of any signal related to classiness"", ""The turn contradicts or undermines classiness"", ""No emotion indicator for classiness is present""]",Opposite affect — turn expresses the emotional antithesis of classiness.,Minimal emotional signal toward classiness; largely absent.,"Neutral — affect is mixed, ambiguous, or unrelated to classiness.",Moderate — clear emotional expression aligned with classiness.,Intense — classiness dominates the turn; highly expressive and unambiguous.,"[""classinessness"", ""classinessity"", ""classinessing"", ""emotional expression"", ""affective state"", ""feeling tone""]","[""Compassion"", ""Empathy"", ""Warmth"", ""Moroseness""]","[""A speaker says something that clearly reflects classiness."", ""The conversation turn is dominated by classiness.""]","[""classiness"", ""classinessness"", ""classinessity"", ""classinessing"", ""emotional"", ""expression"", ""affective"", ""state"", ""feeling"", ""tone"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language"", ""compassion"", ""empathy"", ""warmth"", ""moroseness""]",
control_over_situations,Control Over Situations,Control over situations,safety,"Control Over Situations (also: controlness, controlity, controling, risk signal) is a safety facet that captures the degree to which a conversational turn exhibits 'control over situations'. Context: Risk, harm, toxicity, manipulation, deception, privacy violations, bias and fairness concerns present in a conversational turn. A high score on Control Over Situations indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates control over situations in their response"", ""The turn contains strong evidence of control over situations"", ""The speaker's language consistently reflects control over situations""]","[""Absence of any signal related to control over situations"", ""The turn contradicts or undermines control over situations"", ""No safety indicator for control over situations is present""]",Safe — no safety concern related to control over situations.,Minor / borderline indication of control over situations; not actionable alone.,Ambiguous — could be read as control over situations depending on context.,Notable concern — clear instance of control over situations; warrants review.,Severe — egregious instance of control over situations; immediate action warranted.,"[""controlness"", ""controlity"", ""controling"", ""risk signal"", ""harm indicator"", ""safety concern""]","[""Manipulation"", ""Deception"", ""Hostility""]","[""A speaker says something that clearly reflects control over situations."", ""The conversation turn is dominated by control over situations.""]","[""control"", ""over"", ""situations"", ""controlness"", ""controlity"", ""controling"", ""risk"", ""signal"", ""harm"", ""indicator"", ""safety"", ""concern"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language"", ""manipulation"", ""deception""]",
time_outdoors_day_h,Time Outdoors/Day (H),Time outdoors/day (h),other,"Time Outdoors/Day (H) (also: timeness, timeity, timeing, general attribute) is a other facet that captures the degree to which a conversational turn exhibits 'time outdoors/day (h)'. Context: Catch-all for facets that do not fit any profile. A high score on Time Outdoors/Day (H) indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates time outdoors/day (h) in their response"", ""The turn contains strong evidence of time outdoors/day (h)"", ""The speaker's language consistently reflects time outdoors/day (h)""]","[""Absence of any signal related to time outdoors/day (h)"", ""The turn contradicts or undermines time outdoors/day (h)"", ""No other indicator for time outdoors/day (h) is present""]",Strongly absent — turn actively contradicts or shows the opposite of time outdoors/day (h).,Mostly absent — only weak or indirect signals of time outdoors/day (h).,Neutral / mixed — evidence is ambiguous or time outdoors/day (h) is not clearly applicable.,"Mostly present — turn clearly displays time outdoors/day (h), though not in extreme form.","Strongly present — time outdoors/day (h) is pronounced, unambiguous, and central to the message.","[""timeness"", ""timeity"", ""timeing"", ""general attribute"", ""miscellaneous quality""]",[],"[""A speaker says something that clearly reflects time outdoors/day (h)."", ""The conversation turn is dominated by time outdoors/day (h).""]","[""time"", ""outdoors"", ""day"", ""timeness"", ""timeity"", ""timeing"", ""general"", ""attribute"", ""miscellaneous"", ""quality"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language""]",
effeteness,Effeteness,Effeteness,other,"Effeteness (also: effetenessness, effetenessity, effetenessing, general attribute) is a other facet that captures the degree to which a conversational turn exhibits 'effeteness'. Context: Catch-all for facets that do not fit any profile. A high score on Effeteness indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates effeteness in their response"", ""The turn contains strong evidence of effeteness"", ""The speaker's language consistently reflects effeteness""]","[""Absence of any signal related to effeteness"", ""The turn contradicts or undermines effeteness"", ""No other indicator for effeteness is present""]",Strongly absent — turn actively contradicts or shows the opposite of effeteness.,Mostly absent — only weak or indirect signals of effeteness.,Neutral / mixed — evidence is ambiguous or effeteness is not clearly applicable.,"Mostly present — turn clearly displays effeteness, though not in extreme form.","Strongly present — effeteness is pronounced, unambiguous, and central to the message.","[""effetenessness"", ""effetenessity"", ""effetenessing"", ""general attribute"", ""miscellaneous quality""]",[],"[""A speaker says something that clearly reflects effeteness."", ""The conversation turn is dominated by effeteness.""]","[""effeteness"", ""effetenessness"", ""effetenessity"", ""effetenessing"", ""general"", ""attribute"", ""miscellaneous"", ""quality"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language""]",
polygenic_risk_cardiovascular_disease,Polygenic Risk: Cardiovascular Disease,Polygenic risk: cardiovascular disease,other,"Polygenic Risk: Cardiovascular Disease (also: polygenicness, polygenicity, polygenicing, general attribute) is a other facet that captures the degree to which a conversational turn exhibits 'polygenic risk: cardiovascular disease'. Context: Catch-all for facets that do not fit any profile. A high score on Polygenic Risk: Cardiovascular Disease indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates polygenic risk: cardiovascular disease in their response"", ""The turn contains strong evidence of polygenic risk: cardiovascular disease"", ""The speaker's language consistently reflects polygenic risk: cardiovascular disease""]","[""Absence of any signal related to polygenic risk: cardiovascular disease"", ""The turn contradicts or undermines polygenic risk: cardiovascular disease"", ""No other indicator for polygenic risk: cardiovascular disease is present""]",Strongly absent — turn actively contradicts or shows the opposite of polygenic risk: cardiovascular disease.,Mostly absent — only weak or indirect signals of polygenic risk: cardiovascular disease.,Neutral / mixed — evidence is ambiguous or polygenic risk: cardiovascular disease is not clearly applicable.,"Mostly present — turn clearly displays polygenic risk: cardiovascular disease, though not in extreme form.","Strongly present — polygenic risk: cardiovascular disease is pronounced, unambiguous, and central to the message.","[""polygenicness"", ""polygenicity"", ""polygenicing"", ""general attribute"", ""miscellaneous quality""]",[],"[""A speaker says something that clearly reflects polygenic risk: cardiovascular disease."", ""The conversation turn is dominated by polygenic risk: cardiovascular disease.""]","[""polygenic"", ""risk"", ""cardiovascular"", ""disease"", ""polygenicness"", ""polygenicity"", ""polygenicing"", ""general"", ""attribute"", ""miscellaneous"", ""quality"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language""]",
psychological_construct_identity_diffusion_level,Psychological Construct: Identity Diffusion Level,Psychological construct: Identity Diffusion level,cognitive,"Psychological Construct: Identity Diffusion Level (also: psychologicalness, psychologicality, psychologicaling, thinking style) is a cognitive facet that captures the degree to which a conversational turn exhibits 'psychological construct: identity diffusion level'. Context: Thinking processes: reasoning, problem-solving, learning, memory, creativity, common sense, statistical and numerical reasoning. A high score on Psychological Construct: Identity Diffusion Level indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates psychological construct: identity diffusion level in their response"", ""The turn contains strong evidence of psychological construct: identity diffusion level"", ""The speaker's language consistently reflects psychological construct: identity diffusion level""]","[""Absence of any signal related to psychological construct: identity diffusion level"", ""The turn contradicts or undermines psychological construct: identity diffusion level"", ""No cognitive indicator for psychological construct: identity diffusion level is present""]",No application of psychological construct: identity diffusion level; reasoning absent or clearly wrong.,Superficial or partial application of psychological construct: identity diffusion level.,Adequate — basic application sufficient for the turn.,"Strong — correct, deliberate application of psychological construct: identity diffusion level with depth.","Expert — sophisticated, fully-correct demonstration of psychological construct: identity diffusion level.","[""psychologicalness"", ""psychologicality"", ""psychologicaling"", ""thinking style"", ""mental process"", ""reasoning pattern""]","[""Curiosity"", ""Common Sense"", ""Statistical Reasoning""]","[""A speaker says something that clearly reflects psychological construct: identity diffusion level."", ""The conversation turn is dominated by psychological construct: identity diffusion level.""]","[""psychological"", ""construct"", ""identity"", ""diffusion"", ""level"", ""psychologicalness"", ""psychologicality"", ""psychologicaling"", ""thinking"", ""style"", ""mental"", ""process"", ""reasoning"", ""pattern"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language""]",
